ID;NAME;VARIABLE;SRC;VALUE;CURRENCY;REFYEAR
18490453;ADECCO GROUP AG;COUNTRY;https://en.wikipedia.org/wiki/Adecco;CH;N/A;2024
18490453;ADECCO GROUP AG;EMPLOYEES;https://www.adeccogroup.com/-/media/project/adecco-group/adeccogroup/pdf-files/2025-march/the-adecco-group-annual-report-2024.pdf;264;N/A;2024
18490453;ADECCO GROUP AG;TURNOVER;https://www.adeccogroup.com/-/media/project/adecco-group/adeccogroup/pdf-files/2025-feb/adecco-group-q4-fy-24-results-press-release_final.pdf;23138000000;EUR;2024
18490453;ADECCO GROUP AG;ASSETS;https://www.adeccogroup.com/-/media/project/adecco-group/adeccogroup/pdf-files/2025-march/the-adecco-group-annual-report-2024.pdf;12099;EUR;2024
18490453;ADECCO GROUP AG;WEBSITE;https://www.adeccogroup.com/;https://www.adeccogroup.com/;N/A;2024
18490453;ADECCO GROUP AG;ACTIVITY;https://www.adeccogroup.com/-/media/project/adecco-group/adeccogroup/pdf-files/2025-march/the-adecco-group-annual-report-2024.pdf;N78;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;COUNTRY;https://en.wikipedia.org/wiki/Johnson_Controls;IE;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;EMPLOYEES;https://en.wikipedia.org/wiki/Johnson_Controls;94000;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;TURNOVER;https://www.macrotrends.net/stocks/charts/JCI/johnson-controls/revenue;22952000000;USD;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;ASSETS;https://www.alphaquery.com/stock/JCI/fundamentals/annual/total-assets;42700000000;USD;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;WEBSITE;https://www.johnsoncontrols.com/;https://www.johnsoncontrols.com/;N/A;2024
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;ACTIVITY;https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2024-annual-report-proxy-statement.pdf;F43;N/A;2024
18503440;MAGNA INTERNATIONAL INC;COUNTRY;https://en.wikipedia.org/wiki/Magna_International;CA;N/A;2024
18503440;MAGNA INTERNATIONAL INC;EMPLOYEES;https://macrotrends.net/stocks/charts/MGA/magna/number-of-employees;170000;N/A;2024
18503440;MAGNA INTERNATIONAL INC;TURNOVER;https://www.magna.com/docs/default-source/2025-news---press-releases/magna-2024-q4-pr.pdf?sfvrsn=1e30d97e_1;42836000000;USD;2024
18503440;MAGNA INTERNATIONAL INC;ASSETS;https://www.magna.com/docs/default-source/financial-reports-public-filings/annual-reports/2024-annual-report---magna---aoda.pdf?sfvrsn=188e000d_11;31039;USD;2024
18503440;MAGNA INTERNATIONAL INC;WEBSITE;http://www.magna.com/;http://www.magna.com/;N/A;2024
18503440;MAGNA INTERNATIONAL INC;ACTIVITY;https://www.magna.com/docs/default-source/financial-reports-public-filings/annual-reports/2024-annual-report---magna---aoda.pdf?sfvrsn=188e000d_11;C29;N/A;2024
18511746;PUBLICIS GROUPE S A;COUNTRY;https://www.globaldata.com/company-profile/publicis-groupe-sa/locations/;FR;N/A;2024
18511746;PUBLICIS GROUPE S A;EMPLOYEES;https://en.wikipedia.org/wiki/Publicis;103000;N/A;2024
18511746;PUBLICIS GROUPE S A;TURNOVER;https://www.globenewswire.com/news-release/2025/02/04/3019985/0/en/Publicis-Groupe-Full-Year-2024-Results.html;13965000000;EUR;2024
18511746;PUBLICIS GROUPE S A;ASSETS;https://www.publicisgroupe.com/sites/default/files/press-releases/2025-02/CP_Resultats_FY2024%20ENG_20250204_0.pdf;39854000000;EUR;2024
18511746;PUBLICIS GROUPE S A;WEBSITE;https://www.publicisgroupe.com/en/the-groupe/about-publicis-groupe;https://www.publicisgroupe.com/en/the-groupe/about-publicis-groupe;N/A;2024
18511746;PUBLICIS GROUPE S A;ACTIVITY;https://www.publicisgroupe.com/sites/default/files/investors-document/2024-07/PBS-RFS2024-EN-MEL.pdf.pdf;M73;N/A;2024
18512048;GEBR. KNAUF;COUNTRY;https://en.wikipedia.org/wiki/Knauf;DE;N/A;2024
18512048;GEBR. KNAUF;EMPLOYEES;https://career.knauf.com/pages/our-businesses;43500;N/A;2024
18512048;GEBR. KNAUF;TURNOVER;https://rekvizitai.vz.lt/en/company/knauf/turnover/;3979829;EUR;2024
18512048;GEBR. KNAUF;ASSETS;https://www.northdata.com/Gebr%C2%B7%20Knauf%20KG,%20Iphofen/Amtsgericht%20W%C3%BCrzburg%20HRA%202771;2000000000;EUR;2023
18512048;GEBR. KNAUF;WEBSITE;https://knauf.com/en;https://knauf.com/en;N/A;2024
18512048;GEBR. KNAUF;ACTIVITY;https://s202.q4cdn.com/826259286/files/doc_financials/2024/ar/2024-AWI-Annual-Report.pdf;C31;N/A;2024
18519151;BRIDGESTONE CORPORATION;COUNTRY;https://www.bridgestone.com/corporate/profile/;JP;N/A;2024
18519151;BRIDGESTONE CORPORATION;EMPLOYEES;https://www.bridgestone.com/corporate/profile/;121464;N/A;2024
18519151;BRIDGESTONE CORPORATION;TURNOVER;https://www.bridgestone.com/ir/library/result/pdf/e_r6_4_4_presentation.pdf;4430100000;JPY;2024
18519151;BRIDGESTONE CORPORATION;ASSETS;https://www.bridgestone.com/ir/library/result/pdf/e_r6_4_4_presentation.pdf;5723500000;JPY;2024
